month_date_yyyymm,county_fips,county_name,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy
202106,12057,"hillsborough, fl",371370,0.0468,0.1715,1596,0.1557,-0.5878,33.5,-0.042857143,-0.4765625,1996,0.0943,0.031,180,-0.1667,-0.5109,488,0.4878,-0.6694,4365,-0.0224,-0.0923,201.3453734,0.0267,0.2756,1841,0.0171,-0.0811,582370.3526,0.017,0.2262,5961,0.0197,-0.3133,2.734962406,-0.4982,1.493
202106,12115,"sarasota, fl",495000,0.1002,0.248,845,-0.0276,-0.7634,40.5,-0.079545455,-0.614285714,756,-0.069,-0.2025,88,-0.3529,-0.5,188,0.093,-0.7883,2481,-0.1037,0.1577,274.337913,0.0523,0.2966,1732,-0.0023,-0.0153,1058101.715,0.0466,0.4457,3326,-0.0855,-0.418,2.936094675,-0.2492,2.3362
202106,12101,"pasco, fl",289950,0.0544,0.16,628,0.2124,-0.6133,29.5,-0.106060606,-0.549618321,884,0.1755,0.1162,92,0.5333,-0.4524,148,0.4231,-0.7566,1942,0.0052,-0.0192,169.2912936,0.0433,0.2415,1631.5,-0.0052,-0.078,381674.7723,0.018,0.2661,2570,0.049,-0.2869,3.092356688,-0.6374,1.8731
202106,12085,"martin, fl",569748.5,0.2125,0.4279,470,-0.0126,-0.6685,42.5,-0.034090909,-0.587378641,312,-0.1429,-0.0488,20,0,-0.1667,124,0,-0.5867,751,-0.1216,0.0204,275.254921,0.0812,0.3482,1933,0.0483,0.0021,1015542.281,0.0043,0.346,1221,-0.0826,-0.4331,1.59787234,-0.1983,1.0788
202106,12127,"volusia, fl",349250,0.0302,0.2066,1481,0.0632,-0.616,34,-0.055555556,-0.613636364,1224,0.0968,0.0775,104,-0.3659,0.04,420,0.129,-0.5914,1334,-0.0162,-0.1065,201.7505553,0.02,0.2011,1703,0.0018,0.0122,507965.9521,0.0028,0.2827,2815,0.024,-0.4738,0.900742741,-0.0727,0.5137
202106,12107,"putnam, fl",227450,0.0109,0.0111,149,0.1037,-0.2802,42.5,-0.095744681,-0.627192982,72,-0.1,0.3846,4,-0.5,,32,0,-0.1111,156,0.0196,0.1818,147.6686508,0.0167,0.1833,1513,-0.0913,-0.0951,366922.806,0.0195,-0.0528,305,0.059,-0.1003,1.046979866,-0.0864,0.4093
202106,12035,"flagler, fl",384500,0.0395,0.2821,381,0.1581,-0.6897,32,0.066666667,-0.627906977,372,0.0568,-0.0106,32,-0.2,-0.6923,100,0.25,-0.6575,884,-0.0381,0.3313,200.4011832,0.0404,0.2014,1904.5,-0.0293,-0.0401,511679.548,-0.0202,0.1707,1265,0.0136,-0.3314,2.320209974,-0.4731,1.7795
202106,12031,"duval, fl",275000,0.0185,0.1224,1383,0.1373,-0.4954,36.5,-0.064102564,-0.42519685,1332,0.0183,0.0152,96,-0.2727,-0.625,420,0.0714,-0.5474,3458,-0.0386,0.0926,165.9558211,0.0271,0.1946,1587.5,-0.0053,-0.0778,416198.7036,0.0061,0.1624,4841,0.0058,-0.1803,2.500361533,-0.4577,1.3457
202106,12083,"marion, fl",222900,-0.0089,0.0619,1834,-0.0182,-0.354,487.5,0.069078947,2.947368421,496,0.0248,-0.0949,52,-0.6176,0,128,0.0667,-0.6404,2644,-0.0142,0.1476,126.4261791,0.0038,0.0615,1766,-0.0106,0.0106,332125.9687,-0.0006,0.1601,4478,-0.0158,-0.1293,1.441657579,0.0059,0.6301
202106,12033,"escambia, fl",277500,-0.0263,-0.0246,543,0.1037,-0.4066,23,0.095238095,-0.606837607,400,-0.2308,0.0204,60,0.0714,-0.6053,188,0.4242,-0.3562,23,-0.0417,-0.5208,161.5561307,0.0076,0.1742,1681,-0.0227,-0.1164,450040.6552,-0.0357,0.0855,566,0.0969,-0.4123,0.042357274,-0.0064,-0.0101
202106,12069,"lake, fl",349949.5,0.0771,0.2443,546,0.1143,-0.6313,36,-0.1,-0.532467532,536,0.1167,-0.0429,60,-0.1667,-0.3182,156,0.3929,-0.6321,1143,-0.0538,-0.0522,178.5738589,0.0335,0.2159,1977.5,0.0513,0.0191,458028.4171,0.0129,0.2404,1689,-0.0053,-0.3714,2.093406593,-0.3719,1.2791
202106,12103,"pinellas, fl",364997.5,0.0429,0.1727,1506,0.0628,-0.5948,33,-0.029411765,-0.579617834,1548,0.0157,0.0131,88,-0.0833,0,568,0.127,-0.5549,3100,-0.0218,-0.0303,249.5335592,0.0368,0.2134,1401,0.0007,-0.0193,621461.0027,0.056,0.2331,4606,0.0044,-0.3338,2.058432935,-0.178,1.1983
202106,12005,"bay, fl",374450,0.0854,0.1416,711,0.0143,-0.6806,33,0.1,-0.671641791,488,0.0083,-0.0615,84,-0.4,0.5,184,0.2105,-0.6667,425,-0.0139,0.2687,259.8649511,0.181,0.2566,1595.5,-0.0354,0.0587,586004.3355,0.0115,0.4297,1136,0.0035,-0.5564,0.597749648,-0.0171,0.4473
202106,12053,"hernando, fl",294000,0.0068,0.2511,366,0.1693,-0.5277,29,-0.121212121,-0.546875,396,0.0313,0.125,20,-0.2857,-0.5455,84,0.4,-0.5227,969,0.0052,-0.0528,159.7693351,0.0213,0.2841,1782,-0.0209,-0.0764,399031.2334,-0.0061,0.2782,1335,0.0454,-0.2575,2.647540984,-0.4323,1.3275
202106,12073,"leon, fl",260500,0.0023,0.0424,1109,0.0307,-0.1078,34,-0.055555556,-0.2,536,-0.0074,-0.0147,20,-0.375,0.25,116,0.45,-0.2368,130,-0.037,0,160.910727,0.0127,0.1094,1601,-0.0111,-0.039,303361.699,0.0122,0.0152,1239,0.0231,-0.0976,0.117222723,-0.0082,0.0126
202106,12113,"santa rosa, fl",429117.5,0.0543,0.3006,420,0.1538,-0.4643,17.5,0.029411765,-0.698275862,412,0.0198,0.1319,68,-0.1053,-0.5143,140,0.6667,-0.2222,3,0.5,2,188.1742965,0.0465,0.2566,2124.5,-0.0072,0.0028,627394.9098,0.0013,0.3355,423,0.1557,-0.4611,0.007142857,0.0016,0.0059
202106,12109,"st. johns, fl",477495,0.0055,0.2684,726,0.0583,-0.7502,35,-0.027777778,-0.536423841,780,0,-0.2471,72,-0.1429,-0.6786,180,0.125,-0.7761,2406,-0.0107,0.1016,223.5798325,-0.028,0.2324,2034.5,-0.0037,-0.0214,696661.1628,-0.0405,0.3153,3132,0.0045,-0.3847,3.314049587,-0.2311,2.5625
202106,12097,"osceola, fl",335000,0.0469,0.1204,731,0.0252,-0.6341,38.5,-0.125,-0.527607362,620,-0.0491,-0.019,108,0.0385,-0.2286,100,0.1364,-0.7788,1503,-0.0756,0.2249,184.1354088,0.0638,0.23,1812,0.0083,-0.0755,476363.6061,0.0835,0.2594,2234,-0.0449,-0.3073,2.056087551,-0.2244,1.442
202106,12119,"sumter, fl",335000,0.0155,0.1169,149,-0.1858,-0.6889,44,0.023255814,-0.384615385,116,-0.1714,-0.2927,28,0,6,24,-0.4,-0.8571,414,0.0024,0.7037,196.6739754,0.0117,0.059,1725.5,0.0222,0.0041,455743.8035,0.0913,0.2941,563,-0.0554,-0.2202,2.77852349,0.5217,2.2712
202106,12105,"polk, fl",287000,0.0436,0.2128,835,0.0283,-0.6883,38,-0.11627907,-0.522012579,868,0.1302,-0.1215,100,-0.2188,-0.569,180,0.0976,-0.717,2260,-0.0564,0.0027,159.9895742,0.0368,0.2261,1815,0.0151,-0.0139,366382.4739,0.0479,0.3111,3095,-0.0349,-0.3726,2.706586826,-0.2429,1.8652
202106,12087,"monroe, fl",1077000,0.0824,0.3142,567,0.0253,-0.645,55,-0.112903226,-0.583333333,216,-0.0357,-0.2174,12,-0.25,-0.5714,88,0.1579,-0.6207,539,-0.2003,0.3611,678.2998565,0.0526,0.2576,1643.5,0.0272,0.083,2355782.096,0.0251,0.4889,1106,-0.0986,-0.4451,0.950617284,-0.2682,0.7027
